Year,Month,Day,Rank,Title,Principal,Collaborator,Peak_position,Weeks_in_chart
2018,03,31,18,Amorfoda,Bad Bunny,,9,5
2018,03,31,19,Sensualidad,DJ Luian,"Mambo Kingz,",7,20
2018,03,31,19,Sensualidad,DJ Luian,Bad Bunny,7,20
2018,03,31,19,Sensualidad,DJ Luian,J Balvin,7,20
2018,03,31,19,Sensualidad,DJ Luian,Prince Royce,7,20
2018,03,31,20,Felices Los 4,Maluma,,2,48
2018,03,31,21,El Bano,Enrique Iglesias,Bad Bunny,13,8
2018,03,31,22,Soy Peor,Bad Bunny,,12,31
2018,03,31,23,Krippy Kush,Farruko,Nicki Minaj,4,33
2018,03,31,23,Krippy Kush,Farruko,Bad Bunny,4,33
2018,03,31,23,Krippy Kush,Farruko,21 Savage,4,33
2018,03,31,23,Krippy Kush,Farruko,Rvssian,4,33
2018,03,31,24,Danza Kuduro,Don Omar,Lucenzo,1,230
2018,03,31,25,Sobredosis,Romeo Santos,Ozuna,20,4
2018,04,07,1,Despacito,Luis Fonsi,Daddy Yankee,1,63
2018,04,07,1,Despacito,Luis Fonsi,Justin Bieber,1,63
2018,04,07,2,X,Nicky Jam,J Balvin,2,4
2018,04,07,3,El Farsante,Ozuna,Romeo Santos,1,19
2018,04,07,4,Dura,Daddy Yankee,,3,10
2018,04,07,5,Mi Gente,J Balvin,Willy William,1,39
2018,04,07,5,Mi Gente,J Balvin,Beyonce,1,39
2018,04,07,6,Scooby Doo Pa Pa,DJ Kass,,6,7
2018,04,07,7,La Modelo,Ozuna,Cardi B,3,14
2018,04,07,8,Ahora Dice,Chris Jeday,Anuel,4,48
2018,04,07,8,Ahora Dice,Chris Jeday,Cardi B,4,48
2018,04,07,8,Ahora Dice,Chris Jeday,Offset,4,48
2018,04,07,8,Ahora Dice,Chris Jeday,J Balvin,4,48
2018,04,07,8,Ahora Dice,Chris Jeday,Ozuna,4,48
2018,04,07,8,Ahora Dice,Chris Jeday,Arcangel,4,48
2018,04,07,9,Criminal,Natti Natasha,Ozuna,5,30
2018,04,07,10,Echame La Culpa,Luis Fonsi,Demi Lovato,3,19
2018,04,07,11,Me Niego,Reik,Ozuna,8,5
2018,04,07,11,Me Niego,Reik,Wisin,8,5
2018,04,07,12,Corazon,Maluma,Nego do Borel,6,16
2018,04,07,13,Dile Que Tu Me Quieres,Ozuna,,9,72
2018,04,07,14,Mayores,Becky G,Bad Bunny,3,37
2018,04,07,15,Siguelo Bailando,Ozuna,,13,13
2018,04,07,16,Amorfoda,Bad Bunny,,9,6
2018,04,07,17,El Bano,Enrique Iglesias,Bad Bunny,13,9
2018,04,07,18,Bipolar,Chris Jeday,Ozuna,18,1
2018,04,07,18,Bipolar,Chris Jeday,Brytiago,18,1
2018,04,07,19,Escapate Conmigo,Wisin,Ozuna,3,49
2018,04,07,20,Felices Los 4,Maluma,,2,49
2018,04,07,21,Sensualidad,DJ Luian,"Mambo Kingz,",7,21
2018,04,07,21,Sensualidad,DJ Luian,Bad Bunny,7,21
2018,04,07,21,Sensualidad,DJ Luian,J Balvin,7,21
2018,04,07,21,Sensualidad,DJ Luian,Prince Royce,7,21
2018,04,07,22,El Amante,Nicky Jam,,3,60
2018,04,07,23,Soy Peor,Bad Bunny,,12,32
2018,04,07,24,Danza Kuduro,Don Omar,Lucenzo,1,231
2018,04,07,25,Sobredosis,Romeo Santos,Ozuna,20,5
2018,04,14,1,Despacito,Luis Fonsi,Daddy Yankee,1,64
2018,04,14,1,Despacito,Luis Fonsi,Justin Bieber,1,64
2018,04,14,2,X,Nicky Jam,J Balvin,2,5
2018,04,14,3,El Farsante,Ozuna,Romeo Santos,1,20
2018,04,14,4,Dura,Daddy Yankee,,3,11
2018,04,14,5,Mi Gente,J Balvin,Willy William,1,40
2018,04,14,5,Mi Gente,J Balvin,Beyonce,1,40
2018,04,14,6,Scooby Doo Pa Pa,DJ Kass,,6,8
2018,04,14,7,Amorfoda,Bad Bunny,,7,7
2018,04,14,8,La Modelo,Ozuna,Cardi B,3,15
2018,04,14,9,Criminal,Natti Natasha,Ozuna,5,31
2018,04,14,10,Me Niego,Reik,Ozuna,8,6
2018,04,14,10,Me Niego,Reik,Wisin,8,6
2018,04,14,11,Echame La Culpa,Luis Fonsi,Demi Lovato,3,20
2018,04,14,12,Ahora Dice,Chris Jeday,Anuel,4,49
2018,04,14,12,Ahora Dice,Chris Jeday,Cardi B,4,49
2018,04,14,12,Ahora Dice,Chris Jeday,Offset,4,49
2018,04,14,12,Ahora Dice,Chris Jeday,J Balvin,4,49
2018,04,14,12,Ahora Dice,Chris Jeday,Ozuna,4,49
2018,04,14,12,Ahora Dice,Chris Jeday,Arcangel,4,49
2018,04,14,13,Corazon,Maluma,Nego do Borel,6,17
2018,04,14,14,Mayores,Becky G,Bad Bunny,3,38
2018,04,14,15,Siguelo Bailando,Ozuna,,13,14
2018,04,14,16,Dile Que Tu Me Quieres,Ozuna,,9,73
2018,04,14,17,Felices Los 4,Maluma,,2,50
2018,04,14,18,Escapate Conmigo,Wisin,Ozuna,3,50
2018,04,14,19,El Amante,Nicky Jam,,3,61
2018,04,14,20,Sensualidad,DJ Luian,"Mambo Kingz,",7,22
2018,04,14,20,Sensualidad,DJ Luian,Bad Bunny,7,22
2018,04,14,20,Sensualidad,DJ Luian,J Balvin,7,22
2018,04,14,20,Sensualidad,DJ Luian,Prince Royce,7,22
2018,04,14,21,Bipolar,Chris Jeday,Ozuna,18,2
2018,04,14,21,Bipolar,Chris Jeday,Brytiago,18,2
2018,04,14,22,Danza Kuduro,Don Omar,Lucenzo,1,232
2018,04,14,23,El Prestamo,Maluma,,23,2
2018,04,14,24,El Bano,Enrique Iglesias,Bad Bunny,13,10
2018,04,14,25,Sobredosis,Romeo Santos,Ozuna,20,6
2018,04,21,1,Despacito,Luis Fonsi,Daddy Yankee,1,65
2018,04,21,1,Despacito,Luis Fonsi,Justin Bieber,1,65
2018,04,21,2,X,Nicky Jam,J Balvin,2,6
2018,04,21,3,El Farsante,Ozuna,Romeo Santos,1,21
2018,04,21,4,Dura,Daddy Yankee,,3,12
2018,04,21,5,Mi Gente,J Balvin,Willy William,1,41
2018,04,21,5,Mi Gente,J Balvin,Beyonce,1,41
2018,04,21,6,Scooby Doo Pa Pa,DJ Kass,,6,9
2018,04,21,7,La Modelo,Ozuna,Cardi B,3,16
2018,04,21,8,Criminal,Natti Natasha,Ozuna,5,32
2018,04,21,9,Echame La Culpa,Luis Fonsi,Demi Lovato,3,21
2018,04,21,10,Me Niego,Reik,Ozuna,8,7
2018,04,21,10,Me Niego,Reik,Wisin,8,7
2018,04,21,11,Amorfoda,Bad Bunny,,7,8
2018,04,21,12,Ahora Dice,Chris Jeday,Anuel,4,50
2018,04,21,12,Ahora Dice,Chris Jeday,Cardi B,4,50
2018,04,21,12,Ahora Dice,Chris Jeday,Offset,4,50
2018,04,21,12,Ahora Dice,Chris Jeday,J Balvin,4,50
2018,04,21,12,Ahora Dice,Chris Jeday,Ozuna,4,50
2018,04,21,12,Ahora Dice,Chris Jeday,Arcangel,4,50
2018,04,21,13,Corazon,Maluma,Nego do Borel,6,18
2018,04,21,14,Mayores,Becky G,Bad Bunny,3,39
2018,04,21,15,Siguelo Bailando,Ozuna,,13,15
2018,04,21,16,Dile Que Tu Me Quieres,Ozuna,,9,74
2018,04,21,17,Escapate Conmigo,Wisin,Ozuna,3,51
2018,04,21,18,Felices Los 4,Maluma,,2,51
2018,04,21,19,El Amante,Nicky Jam,,3,62
2018,04,21,20,El Prestamo,Maluma,,20,3
2018,04,21,21,Sensualidad,DJ Luian,"Mambo Kingz,",7,23
2018,04,21,21,Sensualidad,DJ Luian,Bad Bunny,7,23
2018,04,21,21,Sensualidad,DJ Luian,J Balvin,7,23
2018,04,21,21,Sensualidad,DJ Luian,Prince Royce,7,23
2018,04,21,22,Danza Kuduro,Don Omar,Lucenzo,1,233
2018,04,21,23,Soy Peor,Bad Bunny,,12,33
2018,04,21,24,El Bano,Enrique Iglesias,Bad Bunny,13,11
2018,04,21,25,Bipolar,Chris Jeday,Ozuna,18,3
2018,04,21,25,Bipolar,Chris Jeday,Brytiago,18,3
2018,04,28,1,Despacito,Luis Fonsi,Daddy Yankee,1,66
2018,04,28,1,Despacito,Luis Fonsi,Justin Bieber,1,66
2018,04,28,2,X,Nicky Jam,J Balvin,2,7
2018,04,28,3,El Farsante,Ozuna,Romeo Santos,1,22
2018,04,28,4,Dame Tu Cosita,Pitbull,El Chombo,4,1
2018,04,28,4,Dame Tu Cosita,Pitbull,Karol G,4,1
2018,04,28,4,Dame Tu Cosita,Pitbull,Cutty Ranks,4,1
2018,04,28,5,Dura,Daddy Yankee,,3,13
2018,04,28,6,Mi Gente,J Balvin,Willy William,1,42
2018,04,28,6,Mi Gente,J Balvin,Beyonce,1,42
2018,04,28,7,La Modelo,Ozuna,Cardi B,3,17
2018,04,28,8,Criminal,Natti Natasha,Ozuna,5,33
2018,04,28,9,Me Niego,Reik,Ozuna,8,8
2018,04,28,9,Me Niego,Reik,Wisin,8,8
2018,04,28,10,Scooby Doo Pa Pa,DJ Kass,,6,10
2018,04,28,11,Echame La Culpa,Luis Fonsi,Demi Lovato,3,22
2018,04,28,12,Amorfoda,Bad Bunny,,7,9
2018,04,28,13,Mayores,Becky G,Bad Bunny,3,40
2018,04,28,14,Dile Que Tu Me Quieres,Ozuna,,9,75
2018,04,28,15,Siguelo Bailando,Ozuna,,13,16
2018,04,28,16,Ahora Dice,Chris Jeday,Anuel,4,51
2018,04,28,16,Ahora Dice,Chris Jeday,Cardi B,4,51
2018,04,28,16,Ahora Dice,Chris Jeday,Offset,4,51
2018,04,28,16,Ahora Dice,Chris Jeday,J Balvin,4,51
2018,04,28,16,Ahora Dice,Chris Jeday,Ozuna,4,51
2018,04,28,16,Ahora Dice,Chris Jeday,Arcangel,4,51
2018,04,28,17,Corazon,Maluma,Nego do Borel,6,19
2018,04,28,18,Escapate Conmigo,Wisin,Ozuna,3,52
2018,04,28,19,Felices Los 4,Maluma,,2,52
2018,04,28,20,Oye Mujer,Raymix,,20,1
2018,04,28,21,Soy Peor,Bad Bunny,,12,34
2018,04,28,22,El Prestamo,Maluma,,20,4
2018,04,28,23,Sensualidad,DJ Luian,"Mambo Kingz,",7,24
2018,04,28,23,Sensualidad,DJ Luian,Bad Bunny,7,24
2018,04,28,23,Sensualidad,DJ Luian,J Balvin,7,24
2018,04,28,23,Sensualidad,DJ Luian,Prince Royce,7,24
2018,04,28,24,El Amante,Nicky Jam,,3,63
2018,04,28,25,Chantaje,Shakira,Maluma,1,69
2018,05,05,1,Despacito,Luis Fonsi,Daddy Yankee,1,67
2018,05,05,1,Despacito,Luis Fonsi,Justin Bieber,1,67
2018,05,05,2,X,Nicky Jam,J Balvin,2,8
2018,05,05,3,Dame Tu Cosita,Pitbull,El Chombo,3,2
2018,05,05,3,Dame Tu Cosita,Pitbull,Karol G,3,2
2018,05,05,3,Dame Tu Cosita,Pitbull,Cutty Ranks,3,2
2018,05,05,4,Dura,Daddy Yankee,,3,14
2018,05,05,5,El Farsante,Ozuna,Romeo Santos,1,23
2018,05,05,6,Mi Gente,J Balvin,Willy William,1,43
2018,05,05,6,Mi Gente,J Balvin,Beyonce,1,43
2018,05,05,7,La Modelo,Ozuna,Cardi B,3,18
2018,05,05,8,Criminal,Natti Natasha,Ozuna,5,34
2018,05,05,9,Sin Pijama,Becky G,Natti Natasha,9,1
2018,05,05,10,Me Niego,Reik,Ozuna,8,9
2018,05,05,10,Me Niego,Reik,Wisin,8,9
2018,05,05,11,Scooby Doo Pa Pa,DJ Kass,,6,11
2018,05,05,12,Mayores,Becky G,Bad Bunny,3,41
2018,05,05,13,Amorfoda,Bad Bunny,,7,10
2018,05,05,14,Dile Que Tu Me Quieres,Ozuna,,9,76
2018,05,05,15,Echame La Culpa,Luis Fonsi,Demi Lovato,3,23
2018,05,05,16,Corazon,Maluma,Nego do Borel,6,20
2018,05,05,17,Oye Mujer,Raymix,,17,2
2018,05,05,18,Escapate Conmigo,Wisin,Ozuna,3,53
2018,05,05,19,Felices Los 4,Maluma,,2,53
2018,05,05,20,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,20,1
2018,05,05,21,Ahora Dice,Chris Jeday,Anuel,4,52
2018,05,05,21,Ahora Dice,Chris Jeday,Cardi B,4,52
2018,05,05,21,Ahora Dice,Chris Jeday,Offset,4,52
2018,05,05,21,Ahora Dice,Chris Jeday,J Balvin,4,52
2018,05,05,21,Ahora Dice,Chris Jeday,Ozuna,4,52
2018,05,05,21,Ahora Dice,Chris Jeday,Arcangel,4,52
2018,05,05,22,Soy Peor,Bad Bunny,,12,35
2018,05,05,23,Siguelo Bailando,Ozuna,,13,17
2018,05,05,24,El Prestamo,Maluma,,20,5
2018,05,05,25,Sensualidad,DJ Luian,"Mambo Kingz,",7,25
2018,05,05,25,Sensualidad,DJ Luian,Bad Bunny,7,25
2018,05,05,25,Sensualidad,DJ Luian,J Balvin,7,25
2018,05,05,25,Sensualidad,DJ Luian,Prince Royce,7,25
2018,05,12,1,Dame Tu Cosita,Pitbull,El Chombo,1,3
2018,05,12,1,Dame Tu Cosita,Pitbull,Karol G,1,3
2018,05,12,1,Dame Tu Cosita,Pitbull,Cutty Ranks,1,3
2018,05,12,2,X,Nicky Jam,J Balvin,2,9
2018,05,12,3,Te Bote,Casper Magico,Nio Garcia,3,1
2018,05,12,3,Te Bote,Casper Magico,Darell,3,1
2018,05,12,3,Te Bote,Casper Magico,Nicky Jam,3,1
2018,05,12,3,Te Bote,Casper Magico,Ozuna,3,1
2018,05,12,3,Te Bote,Casper Magico,Bad Bunny,3,1
2018,05,12,4,Despacito,Luis Fonsi,Daddy Yankee,1,68
2018,05,12,4,Despacito,Luis Fonsi,Justin Bieber,1,68
2018,05,12,5,Dura,Daddy Yankee,,3,15
2018,05,12,6,Mi Gente,J Balvin,Willy William,1,44
2018,05,12,6,Mi Gente,J Balvin,Beyonce,1,44
2018,05,12,7,El Farsante,Ozuna,Romeo Santos,1,24
2018,05,12,8,Sin Pijama,Becky G,Natti Natasha,8,2
2018,05,12,9,La Modelo,Ozuna,Cardi B,3,19
2018,05,12,10,Me Niego,Reik,Ozuna,8,10
2018,05,12,10,Me Niego,Reik,Wisin,8,10
2018,05,12,11,Madura,Cosculluela,Bad Bunny,11,1
2018,05,12,12,Criminal,Natti Natasha,Ozuna,5,35
2018,05,12,13,Corazon,Maluma,Nego do Borel,6,21
2018,05,12,14,Unica,Ozuna,,14,1
2018,05,12,15,Amorfoda,Bad Bunny,,7,11
2018,05,12,16,El Anillo,Jennifer Lopez,,16,1
2018,05,12,17,Mayores,Becky G,Bad Bunny,3,42
2018,05,12,18,Echame La Culpa,Luis Fonsi,Demi Lovato,3,24
2018,05,12,19,Scooby Doo Pa Pa,DJ Kass,,6,12
2018,05,12,20,Oye Mujer,Raymix,,17,3
2018,05,12,21,Siguelo Bailando,Ozuna,,13,18
2018,05,12,22,Escapate Conmigo,Wisin,Ozuna,3,54
2018,05,12,23,Dile Que Tu Me Quieres,Ozuna,,9,77
2018,05,12,24,Felices Los 4,Maluma,,2,54
2018,05,12,25,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,20,2
2018,05,19,1,Dame Tu Cosita,Pitbull,El Chombo,1,4
2018,05,19,1,Dame Tu Cosita,Pitbull,Karol G,1,4
2018,05,19,1,Dame Tu Cosita,Pitbull,Cutty Ranks,1,4
2018,05,19,2,Te Bote,Casper Magico,Nio Garcia,2,2
2018,05,19,2,Te Bote,Casper Magico,Darell,2,2
2018,05,19,2,Te Bote,Casper Magico,Nicky Jam,2,2
2018,05,19,2,Te Bote,Casper Magico,Ozuna,2,2
2018,05,19,2,Te Bote,Casper Magico,Bad Bunny,2,2
2018,05,19,3,Despacito,Luis Fonsi,Daddy Yankee,1,69
2018,05,19,3,Despacito,Luis Fonsi,Justin Bieber,1,69
2018,05,19,4,Dura,Daddy Yankee,,3,16
2018,05,19,5,X,Nicky Jam,J Balvin,2,10
2018,05,19,6,Mi Gente,J Balvin,Willy William,1,45
2018,05,19,6,Mi Gente,J Balvin,Beyonce,1,45
2018,05,19,7,El Farsante,Ozuna,Romeo Santos,1,25
2018,05,19,8,Unica,Ozuna,,8,2
2018,05,19,9,La Modelo,Ozuna,Cardi B,3,20
2018,05,19,10,Me Niego,Reik,Ozuna,8,11
2018,05,19,10,Me Niego,Reik,Wisin,8,11
2018,05,19,11,Sin Pijama,Becky G,Natti Natasha,8,3
2018,05,19,12,Criminal,Natti Natasha,Ozuna,5,36
2018,05,19,13,Oye Mujer,Raymix,,13,4
2018,05,19,14,Echame La Culpa,Luis Fonsi,Demi Lovato,3,25
2018,05,19,15,Corazon,Maluma,Nego do Borel,6,22
2018,05,19,16,Mayores,Becky G,Bad Bunny,3,43
2018,05,19,17,Amorfoda,Bad Bunny,,7,12
2018,05,19,18,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,18,3
2018,05,19,19,Felices Los 4,Maluma,,2,55
2018,05,19,20,Escapate Conmigo,Wisin,Ozuna,3,55
2018,05,19,21,Scooby Doo Pa Pa,DJ Kass,,6,13
2018,05,19,22,El Anillo,Jennifer Lopez,,16,2
2018,05,19,23,Madura,Cosculluela,Bad Bunny,11,2
2018,05,19,24,Soy Peor,Bad Bunny,,12,36
2018,05,19,25,Ahora Dice,Chris Jeday,Anuel,4,53
2018,05,19,25,Ahora Dice,Chris Jeday,Cardi B,4,53
2018,05,19,25,Ahora Dice,Chris Jeday,Offset,4,53
2018,05,19,25,Ahora Dice,Chris Jeday,J Balvin,4,53
2018,05,19,25,Ahora Dice,Chris Jeday,Ozuna,4,53
2018,05,19,25,Ahora Dice,Chris Jeday,Arcangel,4,53
2018,05,26,1,Te Bote,Casper Magico,Nio Garcia,1,3
2018,05,26,1,Te Bote,Casper Magico,Darell,1,3
2018,05,26,1,Te Bote,Casper Magico,Nicky Jam,1,3
2018,05,26,1,Te Bote,Casper Magico,Ozuna,1,3
2018,05,26,1,Te Bote,Casper Magico,Bad Bunny,1,3
2018,05,26,2,Dame Tu Cosita,Pitbull,El Chombo,1,5
2018,05,26,2,Dame Tu Cosita,Pitbull,Karol G,1,5
2018,05,26,2,Dame Tu Cosita,Pitbull,Cutty Ranks,1,5
2018,05,26,3,Despacito,Luis Fonsi,Daddy Yankee,1,70
2018,05,26,3,Despacito,Luis Fonsi,Justin Bieber,1,70
2018,05,26,4,Dura,Daddy Yankee,,3,17
2018,05,26,5,X,Nicky Jam,J Balvin,2,11
2018,05,26,6,Mi Gente,J Balvin,Willy William,1,46
2018,05,26,6,Mi Gente,J Balvin,Beyonce,1,46
2018,05,26,7,El Farsante,Ozuna,Romeo Santos,1,26
2018,05,26,8,Me Niego,Reik,Ozuna,8,12
2018,05,26,8,Me Niego,Reik,Wisin,8,12
2018,05,26,9,Sin Pijama,Becky G,Natti Natasha,8,4
2018,05,26,10,La Modelo,Ozuna,Cardi B,3,21
2018,05,26,11,Unica,Ozuna,,8,3
2018,05,26,12,Criminal,Natti Natasha,Ozuna,5,37
2018,05,26,13,Oye Mujer,Raymix,,13,5
2018,05,26,14,Scooby Doo Pa Pa,DJ Kass,,6,14
2018,05,26,15,Echame La Culpa,Luis Fonsi,Demi Lovato,3,26
2018,05,26,16,Amorfoda,Bad Bunny,,7,13
2018,05,26,17,Mayores,Becky G,Bad Bunny,3,44
2018,05,26,18,Corazon,Maluma,Nego do Borel,6,23
2018,05,26,19,Felices Los 4,Maluma,,2,56
2018,05,26,20,Escapate Conmigo,Wisin,Ozuna,3,56
2018,05,26,21,Siguelo Bailando,Ozuna,,13,19
2018,05,26,22,Soy Peor,Bad Bunny,,12,37
2018,05,26,23,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,18,4
2018,05,26,24,Ahora Dice,Chris Jeday,Anuel,4,54
2018,05,26,24,Ahora Dice,Chris Jeday,Cardi B,4,54
2018,05,26,24,Ahora Dice,Chris Jeday,Offset,4,54
2018,05,26,24,Ahora Dice,Chris Jeday,J Balvin,4,54
2018,05,26,24,Ahora Dice,Chris Jeday,Ozuna,4,54
2018,05,26,24,Ahora Dice,Chris Jeday,Arcangel,4,54
2018,05,26,25,El Prestamo,Maluma,,20,6
2018,06,02,1,Te Bote,Casper Magico,Nio Garcia,1,4
2018,06,02,1,Te Bote,Casper Magico,Darell,1,4
2018,06,02,1,Te Bote,Casper Magico,Nicky Jam,1,4
2018,06,02,1,Te Bote,Casper Magico,Ozuna,1,4
2018,06,02,1,Te Bote,Casper Magico,Bad Bunny,1,4
2018,06,02,2,Despacito,Luis Fonsi,Daddy Yankee,1,71
2018,06,02,2,Despacito,Luis Fonsi,Justin Bieber,1,71
2018,06,02,3,Dame Tu Cosita,Pitbull,El Chombo,1,6
2018,06,02,3,Dame Tu Cosita,Pitbull,Karol G,1,6
2018,06,02,3,Dame Tu Cosita,Pitbull,Cutty Ranks,1,6
2018,06,02,4,Dura,Daddy Yankee,,3,18
2018,06,02,5,X,Nicky Jam,J Balvin,2,12
2018,06,02,6,Mi Gente,J Balvin,Willy William,1,47
2018,06,02,6,Mi Gente,J Balvin,Beyonce,1,47
2018,06,02,7,El Farsante,Ozuna,Romeo Santos,1,27
2018,06,02,8,Sin Pijama,Becky G,Natti Natasha,8,5
2018,06,02,9,Scooby Doo Pa Pa,DJ Kass,,6,15
2018,06,02,10,Me Niego,Reik,Ozuna,8,13
2018,06,02,10,Me Niego,Reik,Wisin,8,13
2018,06,02,11,La Modelo,Ozuna,Cardi B,3,22
2018,06,02,12,Criminal,Natti Natasha,Ozuna,5,38
2018,06,02,13,Oye Mujer,Raymix,,13,6
2018,06,02,14,Echame La Culpa,Luis Fonsi,Demi Lovato,3,27
2018,06,02,15,Unica,Ozuna,,8,4
2018,06,02,16,El Clavo,Prince Royce,Maluma,16,1
2018,06,02,17,Corazon,Maluma,Nego do Borel,6,24
2018,06,02,18,Siguelo Bailando,Ozuna,,13,20
2018,06,02,19,Mayores,Becky G,Bad Bunny,3,45
2018,06,02,20,Amorfoda,Bad Bunny,,7,14
2018,06,02,21,Felices Los 4,Maluma,,2,57
2018,06,02,22,Escapate Conmigo,Wisin,Ozuna,3,57
2018,06,02,23,El Prestamo,Maluma,,20,7
2018,06,02,24,Soy Peor,Bad Bunny,,12,38
2018,06,02,25,Ahora Dice,Chris Jeday,Anuel,4,55
2018,06,02,25,Ahora Dice,Chris Jeday,Cardi B,4,55
2018,06,02,25,Ahora Dice,Chris Jeday,Offset,4,55
2018,06,02,25,Ahora Dice,Chris Jeday,J Balvin,4,55
2018,06,02,25,Ahora Dice,Chris Jeday,Ozuna,4,55
2018,06,02,25,Ahora Dice,Chris Jeday,Arcangel,4,55
2018,06,09,1,Te Bote,Casper Magico,Nio Garcia,1,5
2018,06,09,1,Te Bote,Casper Magico,Darell,1,5
2018,06,09,1,Te Bote,Casper Magico,Nicky Jam,1,5
2018,06,09,1,Te Bote,Casper Magico,Ozuna,1,5
2018,06,09,1,Te Bote,Casper Magico,Bad Bunny,1,5
2018,06,09,2,Despacito,Luis Fonsi,Daddy Yankee,1,72
2018,06,09,2,Despacito,Luis Fonsi,Justin Bieber,1,72
2018,06,09,3,Dame Tu Cosita,Pitbull,El Chombo,1,7
2018,06,09,3,Dame Tu Cosita,Pitbull,Karol G,1,7
2018,06,09,3,Dame Tu Cosita,Pitbull,Cutty Ranks,1,7
2018,06,09,4,Dura,Daddy Yankee,,3,19
2018,06,09,5,X,Nicky Jam,J Balvin,2,13
2018,06,09,6,Mi Gente,J Balvin,Willy William,1,48
2018,06,09,6,Mi Gente,J Balvin,Beyonce,1,48
2018,06,09,7,El Farsante,Ozuna,Romeo Santos,1,28
2018,06,09,8,Sin Pijama,Becky G,Natti Natasha,8,6
2018,06,09,9,Scooby Doo Pa Pa,DJ Kass,,6,16
2018,06,09,10,Oye Mujer,Raymix,,10,7
2018,06,09,11,Criminal,Natti Natasha,Ozuna,5,39
2018,06,09,12,La Modelo,Ozuna,Cardi B,3,23
2018,06,09,13,Me Niego,Reik,Ozuna,8,14
2018,06,09,13,Me Niego,Reik,Wisin,8,14
2018,06,09,14,Echame La Culpa,Luis Fonsi,Demi Lovato,3,28
2018,06,09,15,Unica,Ozuna,,8,5
2018,06,09,16,Siguelo Bailando,Ozuna,,13,21
2018,06,09,17,Ambiente,J Balvin,,17,1
2018,06,09,18,Mayores,Becky G,Bad Bunny,3,46
2018,06,09,19,Escapate Conmigo,Wisin,Ozuna,3,58
2018,06,09,20,Amorfoda,Bad Bunny,,7,15
2018,06,09,21,Soy Peor,Bad Bunny,,12,39
2018,06,09,22,El Prestamo,Maluma,,20,8
2018,06,09,23,Corazon,Maluma,Nego do Borel,6,25
2018,06,09,24,Felices Los 4,Maluma,,2,58
2018,06,09,25,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,18,5
2018,06,16,1,Te Bote,Casper Magico,Nio Garcia,1,6
2018,06,16,1,Te Bote,Casper Magico,Darell,1,6
2018,06,16,1,Te Bote,Casper Magico,Nicky Jam,1,6
2018,06,16,1,Te Bote,Casper Magico,Ozuna,1,6
2018,06,16,1,Te Bote,Casper Magico,Bad Bunny,1,6
2018,06,16,2,Despacito,Luis Fonsi,Daddy Yankee,1,73
2018,06,16,2,Despacito,Luis Fonsi,Justin Bieber,1,73
2018,06,16,3,Dame Tu Cosita,Pitbull,El Chombo,1,8
2018,06,16,3,Dame Tu Cosita,Pitbull,Karol G,1,8
2018,06,16,3,Dame Tu Cosita,Pitbull,Cutty Ranks,1,8
2018,06,16,4,Dura,Daddy Yankee,,3,20
2018,06,16,5,X,Nicky Jam,J Balvin,2,14
2018,06,16,6,Mi Gente,J Balvin,Willy William,1,49
2018,06,16,6,Mi Gente,J Balvin,Beyonce,1,49
2018,06,16,7,El Farsante,Ozuna,Romeo Santos,1,29
2018,06,16,8,Sin Pijama,Becky G,Natti Natasha,8,7
2018,06,16,9,Oye Mujer,Raymix,,9,8
2018,06,16,10,Scooby Doo Pa Pa,DJ Kass,,6,17
2018,06,16,11,La Modelo,Ozuna,Cardi B,3,24
2018,06,16,12,Criminal,Natti Natasha,Ozuna,5,40
2018,06,16,13,Me Niego,Reik,Ozuna,8,15
2018,06,16,13,Me Niego,Reik,Wisin,8,15
2018,06,16,14,Siguelo Bailando,Ozuna,,13,22
2018,06,16,15,Unica,Ozuna,,8,6
2018,06,16,16,Echame La Culpa,Luis Fonsi,Demi Lovato,3,29
2018,06,16,17,Mayores,Becky G,Bad Bunny,3,47
2018,06,16,18,Escapate Conmigo,Wisin,Ozuna,3,59
2018,06,16,19,Soy Peor,Bad Bunny,,12,40
2018,06,16,20,Amorfoda,Bad Bunny,,7,16
2018,06,16,21,Felices Los 4,Maluma,,2,59
2018,06,16,22,Ambiente,J Balvin,,17,2
2018,06,16,23,Corazon,Maluma,Nego do Borel,6,26
2018,06,16,24,Tu Postura,Banda Sinaloense MS de Sergio Lizarraga,,18,6
2018,06,16,25,Madura,Cosculluela,Bad Bunny,11,3
2018,06,23,1,Te Bote,Casper Magico,Nio Garcia,1,7
2018,06,23,1,Te Bote,Casper Magico,Darell,1,7
2018,06,23,1,Te Bote,Casper Magico,Nicky Jam,1,7
2018,06,23,1,Te Bote,Casper Magico,Ozuna,1,7
2018,06,23,1,Te Bote,Casper Magico,Bad Bunny,1,7
2018,06,23,2,Despacito,Luis Fonsi,Daddy Yankee,1,74
2018,06,23,2,Despacito,Luis Fonsi,Justin Bieber,1,74
2018,06,23,3,Dame Tu Cosita,Pitbull,El Chombo,1,9
2018,06,23,3,Dame Tu Cosita,Pitbull,Karol G,1,9
2018,06,23,3,Dame Tu Cosita,Pitbull,Cutty Ranks,1,9
